sex,_agedays,_bmi_l,_bmi_m,_bmi_s,_tsf_l,_tsf_m,_tsf_s,_ssf_l,_ssf_m,_ssf_s,_armc_l,_armc_m,_armc_s,_headc_l,_headc_m,_headc_s,_wei_l,_wei_m,_wei_s,_len_l,_len_m,_len_s,_denom,_len,_wfl_l,_wfl_m,_wfl_s
1,33,0.2536000013,15.112700462,0.0898400024,,,,,,,,,,1,37.461200714,0.0311799999,0.2263000011,4.5776000023,0.132919997,1,55.071399689,0.0354400016,forage,,,,
1,34,0.2471999973,15.175000191,0.0896800011,,,,,,,,,,1,37.531600952,0.0311200004,0.224999994,4.6185002327,0.1325300038,1,55.204898834,0.0353900008,forage,,,,
1,35,0.240899995,15.235500336,0.0895299986,,,,,,,,,,1,37.60100174,0.0310699996,0.2237000018,4.6589999199,0.1321499944,1,55.337398529,0.0353399999,forage,,,,
1,36,0.234799996,15.294199944,0.0893800035,,,,,,,,,,1,37.669399261,0.03101,0.2224999964,4.6989998817,0.1317699999,1,55.468799591,0.0352899991,forage,,,,
1,37,0.2286999971,15.351099968,0.0892399997,,,,,,,,,,1,37.736801147,0.0309599992,0.2213000059,4.7385997772,0.1313900054,1,55.599201202,0.0352399983,forage,,,,
1,38,0.2228000015,15.406200409,0.0891000032,,,,,,,,,,1,37.803398132,0.0309100002,0.2201000005,4.7778000832,0.1310199946,1,55.728500366,0.0351999998,forage,,,,
1,39,0.2169999927,15.459699631,0.0889699981,,,,,,,,,,1,37.868999481,0.0308599994,0.2188999951,4.8165998459,0.1306599975,1,55.856800079,0.035149999,forage,,,,
1,40,0.2113000005,15.511500359,0.0888400003,,,,,,,,,,1,37.933799744,0.0308100004,0.2178000063,4.8548998833,0.1303000003,1,55.984100342,0.0351000018,forage,,,,
1,41,0.2057999969,15.561800003,0.0887100026,,,,,,,,,,1,37.99779892,0.0307599995,0.2166000009,4.8927998543,0.1299400032,1,56.110401154,0.0350599997,forage,,,,
1,42,0.2002999932,15.610699654,0.0885900036,,,,,,,,,,1,38.060901642,0.0307199992,0.2154999971,4.9303002357,0.1296000034,1,56.2356987,0.0350099988,forage,,,,
1,43,0.1949000061,15.658200264,0.088469997,,,,,,,,,,1,38.123298645,0.0306700002,0.2143999934,4.967400074,0.1292500049,1,56.359901428,0.0349600017,forage,,,,
1,44,0.1896000057,15.704299927,0.088349998,,,,,,,,,,1,38.185001373,0.0306199994,0.2133000046,5.0040998459,0.1289100051,1,56.483299255,0.0349199995,forage,,,,
1,45,0.1844000071,15.749199867,0.0882399976,,,,,,,,,,1,38.2458992,0.0305799991,0.2122000009,5.0404000282,0.128580004,1,56.60559845,0.0348800011,forage,,,,
1,46,0.1792999953,15.792900085,0.0881299973,,,,,,,,,,1,38.306098938,0.0305400006,0.2111999989,5.0763001442,0.1282500029,1,56.726898193,0.0348300003,forage,,,,
1,47,0.1743000001,15.835300446,0.0880199969,,,,,,,,,,1,38.365501404,0.0304899998,0.2100999951,5.1118001938,0.1279200017,1,56.847198486,0.0347900018,forage,,,,
1,48,0.1693000048,15.876700401,0.0879200026,,,,,,,,,,1,38.424301147,0.0304499995,0.2090999931,5.146900177,0.1275999993,1,56.966598511,0.0347499996,forage,,,,
1,49,0.1644999981,15.916899681,0.0878200009,,,,,,,,,,1,38.482398987,0.0304099992,0.208100006,5.1817002296,0.1272899956,1,57.085098267,0.0346999988,forage,,,,
1,50,0.1597000062,15.956000328,0.0877199993,,,,,,,,,,1,38.539901733,0.0303700007,0.207100004,5.2161002159,0.1269800067,1,57.202598572,0.0346600004,forage,,,,
1,51,0.1550000012,15.994099617,0.0876199976,,,,,,,,,,1,38.596801758,0.0303300004,0.2061000019,5.2501001358,0.1266700029,1,57.319198608,0.0346199982,forage,,,,
1,52,0.1502999961,16.031099319,0.087530002,,,,,,,,,,1,38.652999878,0.0302900001,0.2052000016,5.2836999893,0.1263699979,1,57.434898376,0.0345799997,forage,,,,
1,53,0.1456999928,16.067199707,0.0874300003,,,,,,,,,,1,38.708698273,0.0302499998,0.2041999996,5.3171000481,0.1260699928,1,57.549701691,0.0345400013,forage,,,,
1,54,0.141200006,16.102300644,0.0873399973,,,,,,,,,,1,38.763801575,0.0302099995,0.2031999975,5.3499999046,0.1257700026,1,57.663700104,0.0344999991,forage,,,,
1,55,0.136800006,16.136499405,0.0872500017,,,,,,,,,,1,38.81829834,0.0301799998,0.2022999972,5.3825998306,0.1254799962,1,57.776699066,0.0344600007,forage,,,,
1,56,0.1324000061,16.169799805,0.0871699974,,,,,,,,,,1,38.872398376,0.0301399995,0.2013999969,5.414899826,0.1252000034,1,57.888900757,0.0344199985,forage,,,,
1,57,0.1280000061,16.202100754,0.0870800018,,,,,,,,,,1,38.925800323,0.0300999992,0.2004999965,5.4468002319,0.124909997,1,58.000301361,0.0343800001,forage,,,,
1,58,0.123800002,16.233600616,0.0869999975,,,,,,,,,,1,38.978801727,0.0300699994,0.1995999962,5.4784002304,0.1246299967,1,58.110900879,0.0343400016,forage,,,,
1,59,0.119599998,16.264200211,0.0869200006,,,,,,,,,,1,39.031299591,0.0300299991,0.1986999959,5.5096998215,0.1243600026,1,58.22069931,0.0343099982,forage,,,,
1,60,0.1154000014,16.294099808,0.0868399963,,,,,,,,,,1,39.083400726,0.0299999993,0.1977999955,5.5406999588,0.124090001,1,58.329898834,0.0342699997,forage,,,,
1,61,0.1112999991,16.323099136,0.0867599994,,,,,,,,,,1,39.134899139,0.0299699996,0.1968999952,5.5714001656,0.1238199994,1,58.438400269,0.0342300013,forage,,,,
1,62,0.1071999967,16.351299286,0.0866900012,,,,,,,,,,1,39.186100006,0.0299299993,0.1959999949,5.6017999649,0.1235599965,1,58.546298981,0.0342000015,forage,,,,
1,63,0.1032000035,16.378700256,0.0866099969,,,,,,,,,,1,39.236801147,0.0298999995,0.1951999962,5.6318998337,0.123300001,1,58.653598785,0.0341599993,forage,,,,
1,64,0.0992999971,16.40530014,0.0865399987,,,,,,,,,,1,39.287101746,0.0298699997,0.1942999959,5.6616997719,0.1230399981,1,58.760299683,0.0341200009,forage,,,,
1,65,0.0953999981,16.431200027,0.0864600018,,,,,,,,,,1,39.336898804,0.02984,0.1934999973,5.6911997795,0.1227900013,1,58.866401672,0.0340900011,forage,,,,
1,66,0.0914999992,16.456199646,0.0863900036,,,,,,,,,,1,39.386299133,0.0298100002,0.1925999969,5.7204999924,0.1225399971,1,58.971801758,0.034049999,forage,,,,
1,67,0.0877000019,16.480600357,0.0863199979,,,,,,,,,,1,39.43529892,0.0297800004,0.1917999983,5.7494001389,0.1222900003,1,59.076599121,0.0340199992,forage,,,,
1,68,0.0839999989,16.504199982,0.0862599984,,,,,,,,,,1,39.483798981,0.0297500007,0.1909999996,5.7781000137,0.1220500022,1,59.180801392,0.0339800008,forage,,,,
1,69,0.0803000033,16.527099609,0.0861900002,,,,,,,,,,1,39.532001495,0.0297200009,0.190200001,5.806499958,0.1218099967,1,59.284301758,0.033950001,forage,,,,
1,70,0.0766000003,16.54940033,0.086120002,,,,,,,,,,1,39.57970047,0.0296899993,0.1894000024,5.8345999718,0.1215699986,1,59.387199402,0.0339200012,forage,,,,
1,71,0.0728999972,16.570999146,0.0860600024,,,,,,,,,,1,39.627101898,0.0296599995,0.1886000037,5.8625001907,0.1213399991,1,59.489398956,0.0338799991,forage,,,,
1,72,0.0693000033,16.591999054,0.0859899968,,,,,,,,,,1,39.673999786,0.0296299998,0.1878000051,5.8901000023,0.1211099997,1,59.590999603,0.0338499993,forage,,,,
1,73,0.0658000037,16.612400055,0.0859299973,,,,,,,,,,1,39.720600128,0.0296100006,0.1870000064,5.9173998833,0.1208800003,1,59.692001343,0.0338199995,forage,,,,
1,74,0.0623000003,16.632099152,0.0858699977,,,,,,,,,,1,39.766799927,0.0295800008,0.1862999946,5.9444999695,0.1206599995,1,59.792301178,0.0337899998,forage,,,,
1,75,0.0588000007,16.651399612,0.0858099982,,,,,,,,,,1,39.812698364,0.0295499992,0.1854999959,5.9713001251,0.1204399988,1,59.891998291,0.0337500013,forage,,,,
1,76,0.055399999,16.670000076,0.0857499987,,,,,,,,,,1,39.858100891,0.0295299999,0.1846999973,5.9979000092,0.1202199981,1,59.991001129,0.0337200016,forage,,,,
1,77,0.0520000011,16.688199997,0.0856899992,,,,,,,,,,1,39.903301239,0.0295000002,0.1840000004,6.0241999626,0.1200100034,1,60.089401245,0.0336900018,forage,,,,
1,78,0.0485999994,16.705799103,0.0856399983,,,,,,,,,,1,39.948001862,0.0294799991,0.1832000017,6.0503001213,0.1198000014,1,60.187198639,0.0336599983,forage,,,,
1,79,0.0452000014,16.722900391,0.0855799988,,,,,,,,,,1,39.992401123,0.0294499993,0.1825000048,6.0762000084,0.1195899993,1,60.284301758,0.0336299986,forage,,,,
1,80,0.0419000015,16.739599228,0.0855199993,,,,,,,,,,1,40.036499023,0.0294300001,0.1817999929,6.1017999649,0.1193900034,1,60.38079834,0.0335999988,forage,,,,
1,81,0.0386999995,16.755699158,0.0854699984,,,,,,,,,,1,40.080299377,0.0294000003,0.1809999943,6.1272001266,0.1191800013,1,60.476699829,0.033569999,forage,,,,
1,82,0.0353999995,16.771499634,0.0854099989,,,,,,,,,,1,40.123699188,0.0293799993,0.1802999973,6.152299881,0.1189899966,1,60.571899414,0.0335399993,forage,,,,
1,83,0.0322000012,16.786699295,0.085359998,,,,,,,,,,1,40.166801453,0.02936,0.1796000004,6.1771998405,0.1187900007,1,60.666500092,0.0335099995,forage,,,,
1,84,0.0291000009,16.801599503,0.0853099972,,,,,,,,,,1,40.209598541,0.0293300003,0.1789000034,6.2019000053,0.1186000034,1,60.760501862,0.0334799998,forage,,,,
1,85,0.0259000007,16.816099167,0.0852599964,,,,,,,,,,1,40.252101898,0.0293099992,0.1782000065,6.2263998985,0.1184099987,1,60.853900909,0.03345,forage,,,,
1,86,0.0228000004,16.830099106,0.085210003,,,,,,,,,,1,40.294300079,0.02929,0.1774999946,6.2506999969,0.1182200015,1,60.946601868,0.0334200002,forage,,,,
1,87,0.0197000001,16.843799591,0.0851600021,,,,,,,,,,1,40.336200714,0.0292700008,0.1767999977,6.2747998238,0.1180299968,1,61.038799286,0.0333999991,forage,,,,
1,88,0.0166999996,16.857099533,0.0851100013,,,,,,,,,,1,40.377799988,0.0292499997,0.1761000007,6.2986001968,0.1178499982,1,61.130298615,0.0333699994,forage,,,,
1,89,0.0137,16.870100021,0.0850600004,,,,,,,,,,1,40.419101715,0.0292199999,0.1754000038,6.3222999573,0.1176699996,1,61.221199036,0.0333399996,forage,,,,
1,90,0.0107000005,16.882699966,0.0850099996,,,,,,,,,,1,40.460098267,0.0292000007,0.1747000068,6.3456997871,0.1174999997,1,61.311500549,0.0333099999,forage,,,,
1,91,0.0077,16.895000458,0.0849599987,0.003,9.7658004761,0.1661099941,-0.303000003,7.6919999123,0.1701900065,0.3932999969,13.477899551,0.0747400001,1,40.500801086,0.0291799996,0.173999995,6.368999958,0.1173200011,1,61.401298523,0.0332899988,forage,,,,
1,92,0.0048000002,16.906900406,0.0849199966,0.0023000001,9.7595996857,0.1663399935,-0.303900003,7.6852998734,0.1702200025,0.3916000128,13.489999771,0.0747599974,1,40.541301727,0.0291600004,0.1733999997,6.3920998573,0.1171500012,1,61.490398407,0.033259999,forage,,,,
1,93,0.0018,16.918600082,0.0848700032,0.0016,9.7534999847,0.1665699929,-0.304699987,7.6786999702,0.1702499986,0.3899999857,13.501999855,0.0747800022,1,40.581501007,0.0291399993,0.1727000028,6.414899826,0.1169800013,1,61.578998566,0.0332299992,forage,,,,
1,94,-0.0011,16.929899216,0.084830001,0.0009,9.7475004196,0.1668000072,-0.305599988,7.6721000671,0.1702699959,0.3883999884,13.513899803,0.0747999996,1,40.621398926,0.0291200001,0.1720000058,6.4376001358,0.1168200001,1,61.666999817,0.0332099982,forage,,,,
1,95,-0.0039,16.940999985,0.0847800002,0.0002,9.7414999008,0.1670300066,-0.306400001,7.6654000282,0.1703000069,0.3867999911,13.525799751,0.0748099983,1,40.66109848,0.0291000009,0.1713999957,6.460100174,0.1166599989,1,61.754299164,0.0331799984,forage,,,,
1,96,-0.0068,16.951799393,0.084739998,-0.0005,9.7355003357,0.1672500074,-0.307200015,7.6588997841,0.1703200042,0.3851999938,13.537500381,0.0748300031,1,40.700500488,0.0290799998,0.1706999987,6.4823999405,0.116489999,1,61.841098785,0.033160001,forage,,,,
1,97,-0.0096,16.962299347,0.0847000033,-0.0012,9.7294998169,0.1674800068,-0.308099985,7.652299881,0.1703500003,0.3835999966,13.549200058,0.0748500004,1,40.739601135,0.0290699992,0.1701000035,6.5046000481,0.1163399965,1,61.927398682,0.0331300013,forage,,,,
1,98,-0.0124,16.972499847,0.0846500024,-0.0018,9.7236003876,0.1676999927,-0.308899999,7.6458001137,0.1703799963,0.3820999861,13.560700417,0.0748599991,1,40.778499603,0.02905,0.1694000065,6.5265002251,0.1161800027,1,62.013000488,0.0331100002,forage,,,,
1,99,-0.0151,16.982500076,0.0846100003,-0.0025,9.7177000046,0.1679199934,-0.309700012,7.6392998695,0.1703999937,0.3804999888,13.572199821,0.0748799965,1,40.817199707,0.0290300008,0.1687999964,6.5482997894,0.1160300002,1,62.098098755,0.0330800004,forage,,,,
1,100,-0.017899999,16.992300034,0.0845699981,-0.0032,9.7117996216,0.1681399941,-0.310600013,7.6328001022,0.1704300046,0.3790000081,13.583600044,0.0749000013,1,40.855499268,0.0290099997,0.1682000011,6.5699000359,0.1158799976,1,62.182598114,0.0330599993,forage,,,,
1,101,-0.0206,17.001800537,0.0845300034,-0.0038,9.7059001923,0.1683599949,-0.311399996,7.6262998581,0.170450002,0.3774000108,13.594900131,0.07491,1,40.893600464,0.0289900005,0.1675000042,6.5914001465,0.1157300025,1,62.266498566,0.0330299996,forage,,,,
1,102,-0.0233,17.011100769,0.0844900012,-0.0045,9.7000999451,0.1685799956,-0.31220001,7.6198000908,0.170479998,0.3759000003,13.606100082,0.0749299973,1,40.931499481,0.0289799999,0.166899994,6.6125998497,0.11558,1,62.349899292,0.0330099985,forage,,,,
1,103,-0.026000001,17.02009964,0.084449999,-0.0051,9.6941995621,0.1687899977,-0.312999994,7.6133999825,0.1704999954,0.3743999898,13.617199898,0.0749400035,1,40.969100952,0.0289600007,0.1662999988,6.6338000298,0.1154400036,1,62.432701111,0.0329799987,forage,,,,
1,104,-0.0287,17.028999329,0.0844099969,-0.0057,9.6884002686,0.1690099984,-0.313800007,7.6069998741,0.1705300063,0.3729000092,13.628299713,0.0749600008,1,41.006500244,0.0289399996,0.1657000035,6.6546998024,0.1152999997,1,62.514900208,0.0329600014,forage,,,,
1,105,-0.031300001,17.037599564,0.0843700022,-0.0064,9.6826000214,0.1692200005,-0.314599991,7.6005997658,0.1705500036,0.3713999987,13.639200211,0.0749799982,1,41.043598175,0.0289299991,0.1650999933,6.6754999161,0.1151600033,1,62.596599579,0.0329400003,forage,,,,
1,106,-0.0339,17.046100616,0.08433,-0.007,9.6767997742,0.1694400012,-0.315400004,7.5942997932,0.1705799997,0.3698999882,13.650099754,0.0749899969,1,41.080501556,0.0289099999,0.1643999964,6.696199894,0.1150199994,1,62.677799225,0.0329100005,forage,,,,
1,107,-0.036499999,17.05439949,0.0842899978,-0.0077,9.670999527,0.1696500033,-0.316199988,7.5879998207,0.1706099957,0.3684000075,13.660900116,0.0750100017,1,41.117198944,0.0288900007,0.1638000011,6.7165999413,0.1148900017,1,62.758399963,0.0328899994,forage,,,,
1,108,-0.039099999,17.062400818,0.0842600018,-0.0083,9.6652002335,0.1698600054,-0.317000002,7.5816001892,0.1706299931,0.366899997,13.671600342,0.0750200003,1,41.153598785,0.0288800001,0.1632000059,6.7369999886,0.1147599965,1,62.838401794,0.0328699984,forage,,,,
1,109,-0.0416,17.070400238,0.0842199996,-0.0089,9.6592998505,0.1700700074,-0.317799985,7.5753002167,0.170660004,0.3655000031,13.682200432,0.0750399977,1,41.189800262,0.0288600009,0.1625999957,6.7571997643,0.1146299988,1,62.917999268,0.0328399986,forage,,,,
1,110,-0.044199999,17.078100204,0.0841799974,-0.0095,9.6534996033,0.1702699959,-0.318599999,7.5690999031,0.1706800014,0.3639999926,13.692700386,0.0750499964,1,41.225700378,0.0288500004,0.1620000005,6.777200222,0.1145000011,1,62.996898651,0.0328200012,forage,,,,
1,111,-0.046700001,17.085699081,0.0841500014,-0.0101,9.6477003098,0.170479998,-0.319400012,7.5627999306,0.1706999987,0.3625999987,13.703100204,0.0750700012,1,41.261501312,0.0288299993,0.1614000052,6.7971000671,0.114380002,1,63.075401306,0.0328000002,forage,,,,
1,112,-0.049199998,17.093099594,0.0841099992,-0.0107,9.6417999268,0.1706900001,-0.320199996,7.5566000938,0.1707299948,0.3610999882,13.713399887,0.0750899985,1,41.297000885,0.0288200006,0.1608999968,6.8168001175,0.1142499968,1,63.153301239,0.0327799991,forage,,,,
1,113,-0.0517,17.100299835,0.0840800032,-0.0113,9.6359996796,0.1708900034,-0.32100001,7.5503997803,0.170750007,0.3596999943,13.72369957,0.0750999972,1,41.332298279,0.0287999995,0.1603000015,6.8365001678,0.1141299978,1,63.230701447,0.0327600017,forage,,,,
1,114,-0.054099999,17.107400894,0.084040001,-0.0119,9.6301002502,0.1711000055,-0.321799994,7.5441999435,0.1707800031,0.3583000004,13.73390007,0.075120002,1,41.367298126,0.0287900008,0.1597000062,6.8558998108,0.1140099987,1,63.307598114,0.0327299982,forage,,,,
1,115,-0.056600001,17.114400864,0.0840099975,-0.0125,9.6241998672,0.171299994,-0.322600007,7.5380001068,0.1708000004,0.3569000065,13.743900299,0.0751300007,1,41.402198792,0.0287699997,0.1590999961,6.8752999306,0.1138999984,1,63.383899689,0.0327100009,forage,,,,
1,116,-0.059,17.121200562,0.0839700028,-0.0131,9.6183004379,0.1714999974,-0.323399991,7.5317997932,0.1708299965,0.3555000126,13.753899574,0.0751499981,1,41.436798096,0.0287599992,0.1585000008,6.8944997787,0.1137799993,1,63.45980072,0.0326899998,forage,,,,
1,117,-0.0614,17.12789917,0.0839399993,-0.0137,9.6124000549,0.1717000008,-0.324200004,7.5257000923,0.1708499938,0.3540999889,13.763799667,0.0751599967,1,41.471199036,0.0287500005,0.1580000073,6.9134998322,0.1136699989,1,63.53509903,0.0326699987,forage,,,,
1,118,-0.0638,17.134399414,0.0839100033,-0.0143,9.6064996719,0.1719000041,-0.324900001,7.5195999146,0.1708800048,0.352699995,13.773599625,0.0751800016,1,41.505401611,0.0287299994,0.1573999971,6.9324998856,0.1135599986,1,63.609901428,0.0326500013,forage,,,,
1,119,-0.066200003,17.140899658,0.0838700011,-0.0149,9.6005001068,0.1720999926,-0.325700015,7.5135002136,0.1709000021,0.3513000011,13.783399582,0.0751900002,1,41.539398193,0.0287200008,0.1568000019,6.9513001442,0.1134499982,1,63.684200287,0.0326300003,forage,,,,
1,120,-0.068599999,17.147199631,0.0838399976,-0.0155,9.5945997238,0.172299996,-0.326499999,7.5074000359,0.1709199995,0.3499000072,13.793000221,0.0752099976,1,41.573101044,0.0287100002,0.1562999934,6.9699001312,0.1133399978,1,63.75799942,0.0326099992,forage,,,,
1,121,-0.070900001,17.153299332,0.0838100016,-0.016100001,9.5885000229,0.1724999994,-0.327199996,7.5012998581,0.1709499955,0.3485000134,13.802599907,0.0752200037,1,41.606700897,0.0286899991,0.1556999981,6.9885001183,0.1132400036,1,63.831298828,0.0325900018,forage,,,,
1,122,-0.073200002,17.15940094,0.0837799981,-0.0166,9.5825004578,0.1726900041,-0.328000009,7.4952998161,0.1709699929,0.3472000062,13.812000275,0.0752400011,1,41.640098572,0.0286800005,0.1551000029,7.0068998337,0.1131300032,1,63.904098511,0.0325700007,forage,,,,
1,123,-0.075599998,17.165300369,0.0837500021,-0.017200001,9.576499939,0.1728899926,-0.328799993,7.4892997742,0.1710000038,0.3458000124,13.821399689,0.0752499998,1,41.6731987,0.0286699999,0.1545999944,7.0251998901,0.1130300015,1,63.976501465,0.0325499997,forage,,,,
1,124,-0.0779,17.171199799,0.0837099999,-0.0178,9.570400238,0.1730799973,-0.32949999,7.483300209,0.1710200012,0.3445000052,13.830699921,0.0752699971,1,41.706199646,0.0286500007,0.1539999992,7.0433998108,0.1129299998,1,64.048301697,0.0325299986,forage,,,,
1,125,-0.0801,17.176900864,0.0836799964,-0.018300001,9.5642995834,0.1732800007,-0.330300003,7.4773001671,0.1710399985,0.3431999981,13.839900017,0.0752800032,1,41.738899231,0.0286400001,0.1535000056,7.0615000725,0.1128299981,1,64.119697571,0.0325100012,forage,,,,
1,126,-0.082400002,17.182500839,0.0836500004,-0.0189,9.5580997467,0.1734700054,-0.331099987,7.4713001251,0.1710699946,0.3418000042,13.848999977,0.0753000006,1,41.771499634,0.0286299996,0.1528999954,7.0794000626,0.1127400026,1,64.190597534,0.0324900001,forage,,,,
1,127,-0.084700003,17.187999725,0.0836199969,-0.0195,9.5520000458,0.1736599952,-0.331800014,7.4653000832,0.1710900068,0.3404999971,13.858099937,0.0753099993,1,41.803798676,0.0286200009,0.1524000019,7.0971999168,0.1126499996,1,64.261001587,0.032469999,forage,,,,
1,128,-0.086900003,17.193399429,0.0835900009,-0.02,9.545800209,0.1738499999,-0.332599998,7.459400177,0.1711100042,0.33919999,13.866999626,0.075319998,1,41.835998535,0.0286100004,0.1518999934,7.1149001122,0.1125499979,1,64.331001282,0.0324500017,forage,,,,
